D20_OD1-R32_HH12,D20_OD2-R32_HH22,density,free_energy
2.6224,3.3911,0.1034,2.2492
2.8492,3.3911,0.0000,
3.0759,3.3911,0.0517,2.6624
3.3026,3.3911,0.0000,
3.5294,3.3911,0.0000,
3.7561,3.3911,0.0000,
3.9829,3.3911,0.0000,
4.2096,3.3911,0.0000,
4.4363,3.3911,0.0000,
4.6631,3.3911,0.0000,
4.8898,3.3911,0.0000,
1.7155,3.5617,0.0517,2.6624
1.9422,3.5617,0.2585,1.7029
2.1689,3.5617,0.0000,
2.3957,3.5617,0.0000,
2.6224,3.5617,0.0000,
2.8492,3.5617,0.0000,
3.0759,3.5617,0.0000,
3.3026,3.5617,0.0000,
3.5294,3.5617,0.0000,
3.7561,3.5617,0.0000,
3.9829,3.5617,0.0000,
4.2096,3.5617,0.0000,
4.4363,3.5617,0.0000,
4.6631,3.5617,0.0000,
4.8898,3.5617,0.0517,2.6624
1.7155,3.7323,0.1034,2.2492
1.9422,3.7323,0.1034,2.2492
2.1689,3.7323,0.0517,2.6624
2.3957,3.7323,0.0517,2.6624
2.6224,3.7323,0.0000,
2.8492,3.7323,0.0000,
3.0759,3.7323,0.0000,
3.3026,3.7323,0.0000,
3.5294,3.7323,0.0000,
3.7561,3.7323,0.0000,
3.9829,3.7323,0.0000,
4.2096,3.7323,0.0000,
4.4363,3.7323,0.0000,
4.6631,3.7323,0.0000,
4.8898,3.7323,0.0000,
1.7155,3.9029,0.0517,2.6624
1.9422,3.9029,0.0517,2.6624
2.1689,3.9029,0.0000,
2.3957,3.9029,0.0000,
2.6224,3.9029,0.0000,
2.8492,3.9029,0.0000,
3.0759,3.9029,0.0000,
3.3026,3.9029,0.0000,
3.5294,3.9029,0.0000,
3.7561,3.9029,0.0000,
3.9829,3.9029,0.0000,
4.2096,3.9029,0.0000,
4.4363,3.9029,0.0000,
4.6631,3.9029,0.0000,
4.8898,3.9029,0.0000,
1.7155,4.0735,0.0000,
1.9422,4.0735,0.0000,
2.1689,4.0735,0.0517,2.6624
2.3957,4.0735,0.0000,
2.6224,4.0735,0.0000,
2.8492,4.0735,0.0000,
3.0759,4.0735,0.0000,
3.3026,4.0735,0.0000,
3.5294,4.0735,0.0000,
3.7561,4.0735,0.0000,
3.9829,4.0735,0.0000,
4.2096,4.0735,0.0000,
4.4363,4.0735,0.0000,
4.6631,4.0735,0.0000,
4.8898,4.0735,0.0000,
