frame,time,backbone,pair_sidechains
187,18.7000,0.6755,0.4524
188,18.8000,0.6853,0.4917
189,18.9000,0.6852,0.4519
190,19.0000,0.6840,0.4576
191,19.1000,0.6819,0.3695
192,19.2000,0.6957,0.3616
193,19.3000,0.7022,0.4511
194,19.4000,0.7041,0.4526
195,19.5000,0.6967,0.4895
196,19.6000,0.7000,0.5909
197,19.7000,0.7071,0.6878
198,19.8000,0.7027,0.5491
199,19.9000,0.6941,0.5132
200,20.0000,0.6896,0.6906
201,20.1000,0.6891,0.7168
202,20.2000,0.6834,0.5234
203,20.3000,0.6738,0.6296
204,20.4000,0.6630,0.6587
205,20.5000,0.6686,0.5788
206,20.6000,0.6688,0.6658
207,20.7000,0.6695,0.5239
208,20.8000,0.6778,0.4874
209,20.9000,0.6813,0.5872
210,21.0000,0.6845,0.6176
211,21.1000,0.6893,0.6577
212,21.2000,0.6895,0.6023
213,21.3000,0.6743,0.5106
214,21.4000,0.6654,0.6193
215,21.5000,0.6624,0.6130
216,21.6000,0.6586,0.3656
217,21.7000,0.6643,0.3281
218,21.8000,0.6736,0.4364
219,21.9000,0.6795,0.3713
220,22.0000,0.6745,0.5935
221,22.1000,0.6723,0.6979
222,22.2000,0.6802,0.8037
223,22.3000,0.6950,0.9976
224,22.4000,0.6985,1.0221
225,22.5000,0.7039,0.7681
226,22.6000,0.7124,0.5549
227,22.7000,0.7035,0.5473
228,22.8000,0.6993,0.7067
229,22.9000,0.6957,0.7880
230,23.0000,0.6968,0.6985
231,23.1000,0.7117,0.7120
232,23.2000,0.7279,0.7061
233,23.3000,0.7347,0.6721
234,23.4000,0.7329,0.6619
235,23.5000,0.7481,0.6756
236,23.6000,0.7595,0.7119
237,23.7000,0.7646,0.7369
238,23.8000,0.7660,0.4743
239,23.9000,0.7624,0.4918
240,24.0000,0.7635,0.5279
241,24.1000,0.7599,0.6082
242,24.2000,0.7571,0.5665
243,24.3000,0.7599,0.6642
244,24.4000,0.7601,0.5864
245,24.5000,0.7653,0.4041
246,24.6000,0.7732,0.4147
247,24.7000,0.7759,0.3976
248,24.8000,0.7721,0.3980
249,24.9000,0.7834,0.4452
250,25.0000,0.8055,0.5661
251,25.1000,0.8215,0.4529
252,25.2000,0.8247,0.4976
253,25.3000,0.8210,0.4899
254,25.4000,0.8160,0.4473
255,25.5000,0.8125,0.6343
256,25.6000,0.8123,0.8318
257,25.7000,0.8158,0.9316
258,25.8000,0.8282,0.7968
259,25.9000,0.8390,0.6619
260,26.0000,0.8439,0.4985
261,26.1000,0.8503,0.5183
262,26.2000,0.8547,0.5104
263,26.3000,0.8558,0.4336
264,26.4000,0.8537,0.4890
265,26.5000,0.8528,0.4935
266,26.6000,0.8517,0.4615
267,26.7000,0.8574,0.4069
268,26.8000,0.8534,0.5719
269,26.9000,0.8385,0.7859
270,27.0000,0.8312,0.5852
271,27.1000,0.8427,0.5626
272,27.2000,0.8486,0.5274
273,27.3000,0.8442,0.4373
274,27.4000,0.8415,0.5846
275,27.5000,0.8352,0.5380
276,27.6000,0.8320,0.4773
277,27.7000,0.8184,0.3900
278,27.8000,0.8185,0.4087
279,27.9000,0.8253,0.7221
280,28.0000,0.8238,0.6568
281,28.1000,0.8335,0.3517
282,28.2000,0.8438,0.3026
283,28.3000,0.8529,0.4424
284,28.4000,0.8468,0.4387
285,28.5000,0.8499,0.4819
286,28.6000,0.8467,0.5438
287,28.7000,0.8415,0.5860
288,28.8000,0.8498,0.5306
289,28.9000,0.8625,0.5679
290,29.0000,0.8642,0.6269
291,29.1000,0.8669,0.6930
292,29.2000,0.8708,0.4076
293,29.3000,0.8707,0.4489
294,29.4000,0.8619,0.5909
295,29.5000,0.8535,0.4636
296,29.6000,0.8461,0.4122
297,29.7000,0.8443,0.4886
298,29.8000,0.8508,0.7105
299,29.9000,0.8525,0.6959
300,30.0000,0.8571,0.6508
301,30.1000,0.8628,0.5805
302,30.2000,0.8792,0.3816
303,30.3000,0.8869,0.3279
304,30.4000,0.8919,0.5179
305,30.5000,0.8879,0.4155
306,30.6000,0.8925,0.5226
307,30.7000,0.8896,0.5255
308,30.8000,0.8909,0.4356
309,30.9000,0.8808,0.5302
310,31.0000,0.8830,0.5501
311,31.1000,0.8838,0.4714
312,31.2000,0.8912,0.4397
313,31.3000,0.8886,0.5120
314,31.4000,0.8968,0.5820
315,31.5000,0.8912,0.6788
316,31.6000,0.8978,0.8119
317,31.7000,0.8975,0.9482
318,31.8000,0.8955,0.8809
319,31.9000,0.8808,0.7316
320,32.0000,0.8796,0.6370
321,32.1000,0.8823,0.5655
322,32.2000,0.8861,0.7369
323,32.3000,0.8901,0.7534
324,32.4000,0.8758,0.8225
325,32.5000,0.8769,0.9008
326,32.6000,0.8712,0.7411
327,32.7000,0.8634,0.5873
