frame,time,a_Ow_H2_OD2,a_Ow_HH12_OD2
814,81.4000,152.3913,70.3767
815,81.5000,147.2414,74.5561
816,81.6000,165.4635,65.8886
817,81.7000,150.1178,70.2347
818,81.8000,145.3574,58.5197
819,81.9000,144.3519,74.6215
820,82.0000,172.7797,62.7023
821,82.1000,166.3620,59.0162
822,82.2000,151.8990,60.5319
823,82.3000,170.8418,61.1735
824,82.4000,161.5720,62.3261
825,82.5000,143.9979,60.8889
826,82.6000,171.8043,61.5289
827,82.7000,165.8814,65.4201
828,82.8000,139.2260,71.1591
829,82.9000,149.7529,72.6138
830,83.0000,163.4469,66.4169
831,83.1000,153.4531,71.9262
832,83.2000,171.4628,48.2490
833,83.3000,127.9111,64.1834
834,83.4000,148.1168,65.3984
835,83.5000,176.3606,59.4163
836,83.6000,167.2270,61.7962
837,83.7000,148.8983,73.3274
838,83.8000,141.7889,73.3281
839,83.9000,159.2287,69.6492
840,84.0000,164.4659,58.8548
841,84.1000,151.6798,66.4939
842,84.2000,147.0295,70.2323
843,84.3000,154.8825,56.3923
844,84.4000,164.0371,63.4760
845,84.5000,142.2472,73.7607
846,84.6000,165.7451,56.6549
847,84.7000,157.5660,63.8890
848,84.8000,162.1982,63.2419
849,84.9000,162.0380,65.9595
850,85.0000,142.3431,70.7113
851,85.1000,176.2182,64.8289
852,85.2000,147.5973,56.4118
853,85.3000,154.6315,57.9320
854,85.4000,159.8091,67.4094
855,85.5000,138.5309,68.7051
856,85.6000,173.3107,54.5539
857,85.7000,156.1622,76.3154
858,85.8000,170.7274,57.4004
859,85.9000,143.2429,68.4821
860,86.0000,165.1758,68.6380
861,86.1000,143.5001,61.9751
862,86.2000,150.8335,71.5700
863,86.3000,166.4101,63.8226
864,86.4000,147.2192,43.2208
865,86.5000,158.6121,72.1886
866,86.6000,178.7083,58.9816
867,86.7000,165.9200,63.1971
868,86.8000,172.9215,61.5568
869,86.9000,167.2779,63.8540
870,87.0000,167.1335,58.7437
871,87.1000,158.7076,61.5792
872,87.2000,164.1759,59.5684
873,87.3000,153.1800,66.3615
874,87.4000,156.3937,65.8576
875,87.5000,169.0608,72.5328
876,87.6000,159.5419,68.0975
877,87.7000,163.4948,57.6091
878,87.8000,164.4305,59.4470
879,87.9000,148.2173,73.7850
880,88.0000,134.8099,64.9031
881,88.1000,140.2205,64.6371
882,88.2000,151.6573,71.4738
883,88.3000,151.0192,71.6541
884,88.4000,152.2836,73.8045
885,88.5000,153.1961,63.0395
886,88.6000,178.5040,56.2747
887,88.7000,147.3054,70.6274
888,88.8000,135.3375,69.2331
889,88.9000,155.1413,53.4780
890,89.0000,164.5362,63.9891
891,89.1000,167.0437,65.8148
892,89.2000,151.2940,60.3833
893,89.3000,154.4463,64.4163
894,89.4000,155.1760,67.2136
895,89.5000,172.2132,63.3391
896,89.6000,160.8142,70.6212
897,89.7000,156.7695,51.9381
898,89.8000,147.0042,79.0808
899,89.9000,174.3011,59.6655
900,90.0000,133.9756,74.3270
901,90.1000,144.8817,69.6074
902,90.2000,167.7794,66.4707
903,90.3000,150.5590,69.1505
904,90.4000,163.8442,63.5386
905,90.5000,159.5372,64.4899
906,90.6000,157.7836,68.9012
907,90.7000,153.3682,65.2556
908,90.8000,177.3272,51.5860
909,90.9000,161.6502,50.8584
910,91.0000,151.5540,67.0725
911,91.1000,161.6257,57.4399
912,91.2000,145.7490,69.9780
913,91.3000,137.8370,62.6665
914,91.4000,161.0934,62.2234
915,91.5000,149.8811,58.5744
916,91.6000,152.0199,65.6621
917,91.7000,140.6962,68.9524
918,91.8000,158.2511,70.5074
919,91.9000,171.4901,54.2341
920,92.0000,152.3196,63.2614
921,92.1000,167.4968,62.2545
922,92.2000,149.4824,72.5092
923,92.3000,160.9473,73.4737
924,92.4000,149.5251,72.5499
925,92.5000,155.1176,63.3272
926,92.6000,171.8416,51.9873
927,92.7000,140.6104,83.5806
928,92.8000,149.4672,60.4059
929,92.9000,157.8418,79.3050
930,93.0000,163.4550,63.1426
931,93.1000,137.9722,82.7461
932,93.2000,136.6829,80.3432
933,93.3000,164.8646,58.4827
934,93.4000,172.6847,63.7288
935,93.5000,145.4319,71.7299
936,93.6000,163.8648,63.8900
937,93.7000,160.2317,60.0835
938,93.8000,151.9037,63.7962
939,93.9000,141.1910,67.6229
940,94.0000,161.5269,54.9951
941,94.1000,157.2886,62.9714
942,94.2000,156.5258,70.7114
943,94.3000,145.8537,67.3722
944,94.4000,160.3811,71.5498
945,94.5000,145.2498,69.4938
946,94.6000,155.9050,55.4111
947,94.7000,154.9030,72.3825
948,94.8000,125.5351,86.3207
949,94.9000,144.7315,70.8319
950,95.0000,161.1854,66.5377
951,95.1000,164.7014,64.8427
952,95.2000,150.1376,66.8015
953,95.3000,135.3278,75.5569
954,95.4000,147.1756,75.2167
955,95.5000,173.8867,63.4588
956,95.6000,169.7759,62.8351
957,95.7000,149.2503,89.5797
958,95.8000,143.9465,69.3441
959,95.9000,154.5116,60.8751
960,96.0000,169.9828,53.2836
961,96.1000,163.3969,67.6997
962,96.2000,150.2756,56.8981
963,96.3000,159.9239,65.8253
964,96.4000,161.8327,73.0553
965,96.5000,162.5571,57.3916
966,96.6000,161.9478,57.9808
967,96.7000,147.3385,68.2685
968,96.8000,141.9044,80.8724
969,96.9000,157.2230,64.3456
970,97.0000,150.3942,74.1717
971,97.1000,165.1119,58.8165
972,97.2000,134.3769,85.5787
973,97.3000,159.6200,63.2872
974,97.4000,148.1214,72.9832
975,97.5000,179.0277,59.3665
976,97.6000,168.0149,56.5631
977,97.7000,161.8711,62.4932
978,97.8000,158.1130,64.4239
979,97.9000,164.5154,70.2402
980,98.0000,166.5305,59.6131
981,98.1000,155.0650,65.1024
982,98.2000,158.6427,72.6132
983,98.3000,140.9990,76.2760
984,98.4000,144.1619,75.0405
985,98.5000,161.2379,68.7299
986,98.6000,157.0801,63.0211
987,98.7000,161.2048,64.6975
988,98.8000,170.0963,59.2594
989,98.9000,147.1054,72.7271
990,99.0000,150.2022,69.8269
991,99.1000,169.5872,62.4404
992,99.2000,171.4289,61.2232
993,99.3000,165.3627,62.8336
994,99.4000,153.3457,67.5512
995,99.5000,169.0533,53.7247
996,99.6000,153.7122,76.1261
997,99.7000,145.6090,72.3279
998,99.8000,167.2405,64.8642
999,99.9000,142.1010,83.1420
