frame,time,a_Ow_H2_OD2,a_Ow_HH12_OD2
186,18.6000,148.1933,64.9000
187,18.7000,167.7000,60.4425
188,18.8000,159.4541,66.5350
189,18.9000,152.0548,66.2193
190,19.0000,168.1756,59.8332
191,19.1000,146.6256,68.5060
192,19.2000,137.6636,67.8030
193,19.3000,177.0493,60.3473
194,19.4000,151.7677,70.5478
195,19.5000,174.0922,54.8265
196,19.6000,169.9446,53.5242
197,19.7000,151.4687,60.9566
198,19.8000,169.4696,63.3070
199,19.9000,154.4946,69.5143
200,20.0000,153.9137,62.2863
201,20.1000,163.4377,66.2358
202,20.2000,167.5565,55.5963
203,20.3000,149.3035,71.2652
204,20.4000,148.3192,71.8023
205,20.5000,151.4016,73.2892
206,20.6000,158.6488,58.5469
207,20.7000,150.3467,71.9745
208,20.8000,161.0184,56.5716
209,20.9000,164.8217,64.7546
210,21.0000,156.5394,66.2842
211,21.1000,158.7555,65.1135
212,21.2000,150.8390,61.2914
213,21.3000,140.7946,88.8591
214,21.4000,135.7840,68.6116
215,21.5000,170.9242,61.7642
216,21.6000,155.2414,73.3295
217,21.7000,144.3269,62.8682
218,21.8000,158.6026,61.1682
219,21.9000,162.4080,66.6333
220,22.0000,167.7291,52.3248
221,22.1000,170.1006,57.9135
222,22.2000,132.5252,85.2454
223,22.3000,129.3311,69.9373
224,22.4000,175.2845,60.4795
225,22.5000,161.3050,53.5678
226,22.6000,152.6609,58.7344
227,22.7000,152.6284,60.7902
228,22.8000,173.8667,58.7129
229,22.9000,159.7318,72.1224
230,23.0000,136.4825,77.9733
231,23.1000,144.5152,68.4098
232,23.2000,161.8538,65.4965
233,23.3000,154.9661,65.0912
234,23.4000,166.5985,55.4064
235,23.5000,153.7348,63.2449
236,23.6000,134.5586,86.0214
237,23.7000,129.3602,80.0991
238,23.8000,151.3803,62.7361
239,23.9000,153.7923,74.2792
240,24.0000,146.8037,70.7795
241,24.1000,110.0267,85.7031
242,24.2000,156.8673,69.9039
243,24.3000,154.4168,67.8910
244,24.4000,156.1455,63.1364
245,24.5000,145.9082,77.4313
246,24.6000,151.8766,62.5513
247,24.7000,154.2513,62.8669
248,24.8000,172.4692,49.5281
249,24.9000,163.7941,52.4962
250,25.0000,166.7384,57.0607
251,25.1000,170.8999,49.8053
252,25.2000,124.5168,77.6018
253,25.3000,142.6587,78.6089
254,25.4000,123.6028,73.3246
255,25.5000,165.2819,49.1403
256,25.6000,152.4611,56.9915
257,25.7000,167.4540,44.6180
258,25.8000,145.7683,44.8514
259,25.9000,141.1245,76.3769
260,26.0000,152.4885,49.2136
261,26.1000,168.1214,59.4061
262,26.2000,160.2881,55.3770
263,26.3000,167.1529,62.1412
264,26.4000,169.2093,54.1710
265,26.5000,162.8329,58.6446
266,26.6000,174.7283,60.7340
267,26.7000,156.3791,70.7519
