frame,time,cluster,rmsd_to_medoid
227,22.7000,2,0.2081
228,22.8000,2,0.2884
229,22.9000,2,0.2417
230,23.0000,2,0.2321
231,23.1000,2,0.1121
232,23.2000,2,0.2484
233,23.3000,2,0.2425
234,23.4000,2,0.1580
235,23.5000,2,0.1837
236,23.6000,2,0.1398
237,23.7000,2,0.1464
238,23.8000,2,0.1145
239,23.9000,2,0.2367
240,24.0000,2,0.2150
241,24.1000,2,0.2657
242,24.2000,2,0.2432
243,24.3000,2,0.3582
244,24.4000,2,0.2357
245,24.5000,2,0.1053
246,24.6000,2,0.1377
247,24.7000,2,0.1727
248,24.8000,2,0.1912
249,24.9000,2,0.2176
250,25.0000,2,0.3158
251,25.1000,2,0.1654
252,25.2000,2,0.2589
253,25.3000,2,0.1540
254,25.4000,2,0.1158
255,25.5000,2,0.3937
256,25.6000,2,0.4872
257,25.7000,2,0.4775
258,25.8000,2,0.3694
259,25.9000,2,0.3542
260,26.0000,2,0.2337
261,26.1000,2,0.2999
262,26.2000,2,0.3180
263,26.3000,2,0.2670
264,26.4000,2,0.2427
265,26.5000,2,0.2145
266,26.6000,2,0.2545
267,26.7000,2,0.2022
268,26.8000,2,0.2352
269,26.9000,2,0.4340
270,27.0000,2,0.2388
271,27.1000,2,0.1969
272,27.2000,2,0.1998
273,27.3000,2,0.1150
274,27.4000,2,0.2027
275,27.5000,2,0.3125
276,27.6000,2,0.2091
277,27.7000,2,0.1770
278,27.8000,2,0.1458
279,27.9000,2,0.3544
280,28.0000,2,0.3626
281,28.1000,2,0.2073
282,28.2000,2,0.1552
283,28.3000,2,0.2026
284,28.4000,2,0.1377
285,28.5000,2,0.2345
286,28.6000,2,0.2552
287,28.7000,2,0.2673
288,28.8000,2,0.1290
289,28.9000,2,0.1985
290,29.0000,2,0.1861
291,29.1000,2,0.2411
292,29.2000,2,0.1888
293,29.3000,2,0.2259
294,29.4000,2,0.3001
295,29.5000,2,0.1829
296,29.6000,2,0.1875
297,29.7000,2,0.1535
298,29.8000,2,0.2794
299,29.9000,2,0.2200
300,30.0000,2,0.1245
301,30.1000,2,0.2336
302,30.2000,2,0.2196
303,30.3000,2,0.1403
304,30.4000,2,0.2651
305,30.5000,2,0.2158
306,30.6000,2,0.1902
307,30.7000,2,0.1295
308,30.8000,2,0.0990
309,30.9000,2,0.2203
310,31.0000,2,0.2396
311,31.1000,2,0.1645
312,31.2000,2,0.1628
313,31.3000,2,0.2350
314,31.4000,2,0.2719
315,31.5000,2,0.2594
316,31.6000,2,0.2464
317,31.7000,2,0.2067
318,31.8000,2,0.1926
319,31.9000,2,0.1272
320,32.0000,2,0.1811
321,32.1000,2,0.1739
322,32.2000,2,0.1505
323,32.3000,2,0.2194
324,32.4000,2,0.3278
325,32.5000,2,0.3264
326,32.6000,2,0.2474
327,32.7000,2,0.1935
328,32.8000,2,0.1407
329,32.9000,2,0.2257
330,33.0000,2,0.2347
331,33.1000,2,0.2619
332,33.2000,2,0.2568
333,33.3000,2,0.2296
334,33.4000,2,0.2120
335,33.5000,2,0.3152
336,33.6000,2,0.2133
337,33.7000,2,0.2548
338,33.8000,2,0.2739
339,33.9000,2,0.2093
340,34.0000,2,0.2243
341,34.1000,2,0.1814
342,34.2000,2,0.3150
343,34.3000,2,0.2923
344,34.4000,2,0.4017
345,34.5000,2,0.3894
346,34.6000,2,0.2137
347,34.7000,2,0.1402
348,34.8000,2,0.1103
349,34.9000,2,0.2556
350,35.0000,2,0.2702
351,35.1000,2,0.1844
352,35.2000,2,0.1246
353,35.3000,2,0.1244
354,35.4000,2,0.1905
355,35.5000,2,0.2144
356,35.6000,2,0.2115
357,35.7000,2,0.2340
358,35.8000,2,0.2336
359,35.9000,2,0.2091
360,36.0000,2,0.2007
361,36.1000,2,0.2947
362,36.2000,2,0.3228
363,36.3000,2,0.2075
364,36.4000,2,0.2266
365,36.5000,2,0.3106
366,36.6000,2,0.2708
367,36.7000,2,0.1402
368,36.8000,2,0.1834
369,36.9000,2,0.1118
370,37.0000,2,0.1952
371,37.1000,2,0.1993
372,37.2000,2,0.2465
373,37.3000,2,0.1153
374,37.4000,2,0.1946
375,37.5000,2,0.2310
376,37.6000,2,0.1376
377,37.7000,2,0.3046
378,37.8000,2,0.3091
379,37.9000,2,0.1300
380,38.0000,2,0.1545
381,38.1000,2,0.2871
382,38.2000,2,0.2437
383,38.3000,2,0.3409
384,38.4000,2,0.3570
385,38.5000,2,0.3655
386,38.6000,2,0.2543
387,38.7000,2,0.2172
388,38.8000,2,0.2031
389,38.9000,2,0.1554
390,39.0000,2,0.2064
391,39.1000,2,0.1345
392,39.2000,2,0.2067
393,39.3000,2,0.3015
394,39.4000,2,0.3226
395,39.5000,2,0.2797
396,39.6000,2,0.1811
397,39.7000,2,0.3017
398,39.8000,2,0.2445
399,39.9000,2,0.1794
400,40.0000,2,0.2345
401,40.1000,2,0.2257
402,40.2000,2,0.2178
403,40.3000,2,0.2411
404,40.4000,2,0.1910
405,40.5000,2,0.1790
406,40.6000,2,0.2444
407,40.7000,2,0.2306
408,40.8000,2,0.1830
409,40.9000,2,0.1822
410,41.0000,2,0.2617
411,41.1000,2,0.2040
412,41.2000,2,0.2255
413,41.3000,2,0.1288
414,41.4000,2,0.1601
415,41.5000,2,0.1832
416,41.6000,2,0.1865
417,41.7000,2,0.1685
418,41.8000,2,0.1521
419,41.9000,2,0.1520
420,42.0000,2,0.1769
421,42.1000,2,0.2125
422,42.2000,2,0.2417
423,42.3000,2,0.2574
424,42.4000,2,0.2223
425,42.5000,2,0.2028
426,42.6000,2,0.2178
