d_saltbridge,d_OD1_water,density,free_energy
3.2462,2.6865,0.2245,2.1023
3.3692,2.6865,0.0000,
3.4923,2.6865,0.2245,2.1023
3.6153,2.6865,0.6735,1.4473
3.7384,2.6865,0.2245,2.1023
3.8614,2.6865,1.7960,0.8626
3.9845,2.6865,1.1225,1.1428
4.1076,2.6865,3.3674,0.4878
4.2306,2.6865,4.0409,0.3792
4.3537,2.6865,6.5104,0.0948
4.4767,2.6865,3.3674,0.4878
4.5998,2.6865,4.2654,0.3469
4.7229,2.6865,3.8164,0.4132
4.8459,2.6865,2.0205,0.7924
4.9690,2.6865,1.1225,1.1428
5.0920,2.6865,0.0000,
5.2151,2.6865,0.0000,
5.3382,2.6865,0.2245,2.1023
5.4612,2.6865,0.0000,
5.5843,2.6865,0.0000,
5.7073,2.6865,0.0000,
3.1231,2.7227,0.0000,
3.2462,2.7227,0.0000,
3.3692,2.7227,0.2245,2.1023
3.4923,2.7227,0.2245,2.1023
3.6153,2.7227,0.0000,
3.7384,2.7227,0.8980,1.2758
3.8614,2.7227,0.4490,1.6891
3.9845,2.7227,1.7960,0.8626
4.1076,2.7227,1.7960,0.8626
4.2306,2.7227,2.6939,0.6209
4.3537,2.7227,4.0409,0.3792
4.4767,2.7227,3.1429,0.5290
4.5998,2.7227,1.7960,0.8626
4.7229,2.7227,1.7960,0.8626
4.8459,2.7227,2.2449,0.7296
4.9690,2.7227,1.5715,0.9422
5.0920,2.7227,0.6735,1.4473
5.2151,2.7227,0.2245,2.1023
5.3382,2.7227,0.2245,2.1023
5.4612,2.7227,0.0000,
5.5843,2.7227,0.0000,
5.7073,2.7227,0.0000,
3.1231,2.7589,0.2245,2.1023
3.2462,2.7589,0.0000,
3.3692,2.7589,0.0000,
3.4923,2.7589,0.0000,
3.6153,2.7589,0.0000,
3.7384,2.7589,0.2245,2.1023
3.8614,2.7589,0.6735,1.4473
3.9845,2.7589,0.6735,1.4473
4.1076,2.7589,0.4490,1.6891
4.2306,2.7589,1.5715,0.9422
4.3537,2.7589,2.2449,0.7296
4.4767,2.7589,2.2449,0.7296
4.5998,2.7589,1.3470,1.0341
4.7229,2.7589,0.6735,1.4473
4.8459,2.7589,1.7960,0.8626
4.9690,2.7589,0.4490,1.6891
5.0920,2.7589,0.0000,
5.2151,2.7589,0.0000,
5.3382,2.7589,0.0000,
5.4612,2.7589,0.0000,
5.5843,2.7589,0.0000,
5.7073,2.7589,0.2245,2.1023
3.1231,2.7951,0.0000,
3.2462,2.7951,0.0000,
3.3692,2.7951,0.2245,2.1023
3.4923,2.7951,0.0000,
3.6153,2.7951,0.2245,2.1023
3.7384,2.7951,0.0000,
3.8614,2.7951,0.2245,2.1023
3.9845,2.7951,0.2245,2.1023
4.1076,2.7951,0.4490,1.6891
4.2306,2.7951,0.4490,1.6891
4.3537,2.7951,0.2245,2.1023
4.4767,2.7951,2.2449,0.7296
